Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
"NetEase, Inc.",NTES,SPONSORED ADR,0,-6379580,0,-243445000,0.00,0.00,Hist,12/31/2011
iSoftStone Holdings Ltd,ISS,Common,0,-5053798,0,-32799000,0.00,0.00,Hist,12/31/2011
DOLLAR TREE INC,DLTR,COM,0,-3566451,0,-267983000,0.00,0.00,Hist,12/31/2011
CITIGROUP INC,C,COM,0,-2740726,0,-70217000,0.00,0.00,Hist,12/31/2011
Yandex N.V.,YNDX,COM,0,-1243941,0,-25451000,0.00,0.00,Hist,12/31/2011
Arcos Dorados Holdings Inc.,ARCO,Common,0,-824599,0,-19122000,0.00,0.00,Hist,12/31/2011
Grifols SA,GRFS,SPONSORED ADR,0,-7067971,0,-45164000,0.00,0.00,Hist,12/31/2011
RALPH LAUREN CORP,RL,COM,0,-4215814,0,-546791000,0.00,0.00,Hist,12/31/2011
"NetApp, Inc.",NTAP,CALL,0,-2200000,0,-74646000,0.00,0.00,Hist,12/31/2011
"SolarWinds, Inc.",SWI,COM,0,-3766081,0,-82929000,0.00,0.00,Hist,12/31/2011
LIBERTY MEDIA LLC,LSTZA,COM,0,-1259494,0,-80053000,0.00,0.00,Hist,12/31/2011
DOLLAR GENERAL CORP,DG,COM,0,-15811147,0,-597029000,0.00,0.00,Hist,12/31/2011
7 Days Group Holdings LTD,SVN,ADR,0,-999322,0,-12651000,0.00,0.00,Hist,12/31/2011
Sensata Technologies Holding N.V.,ST,Common,0,-6670287,0,-176496000,0.00,0.00,Hist,12/31/2011
"China Lodging Group, Ltd",HTHT,Com,0,-1046851,0,-14331000,0.00,0.00,Hist,12/31/2011
ARMOR HOLDINGS INC,AH,COM,0,-7841405,0,-166473000,0.00,0.00,Hist,12/31/2011
Booking Holdings Inc.,PCLN,Common,0,-646389,0,-290526000,0.00,0.00,Hist,12/31/2011
TransDigm Group INC,TDG,Common,0,-3089601,0,-252328000,0.00,0.00,Hist,12/31/2011
New Oriental Education & Technology Group Inc.,EDU,SP ADR,0,-6726851,0,-154516000,0.00,0.00,Hist,12/31/2011
NII HOLDINGS INC,NIHD,Common,0,-7006471,0,-188824000,0.00,0.00,Hist,12/31/2011
INTERNATIONAL FLAVORS & FRAGRANCES INC,IFF,Common,0,-2992507,0,-168239000,0.00,0.00,Hist,12/31/2011
COGNIZANT TECHNOLOGY SOLUTIONS CORP,CTSH,Common,0,-10697067,0,-670706000,0.00,0.00,Hist,12/31/2011
