Ticker,Date,Shares,Value,Shares_Change,Value_Change,Price,Class,Last_Price,New_Value
LL,201409,0,0,-2619839.0,-198977000.0,57.38,,57.22,-150326361.82
LM,200603,0,0,-732300.0,-87649000.0,125.33,,130.59,-91779159.0
LNCR,201106,0,0,-4635800.0,-137498000.0,29.27,,30.32,-135689866.0
LNG,200606,0,0,-1997500.0,-81039000.0,39.0,,38.93,-77902500.0
LNG,201709,0,0,-5186332.0,-252626000.0,45.04,,42.79,-233592393.28
LO,200903,0,0,-3639511.0,-205086000.0,61.74,,58.44,-224703409.14000002
LOW,200503,0,0,-1128300.0,-64979000.0,57.09,,58.78,-64414647.00000001
LOW,201403,0,0,-2114588.0,-104778000.0,48.9,,50.03,-103403353.2
LOW,201509,0,0,-7053887.0,-472399000.0,68.92,,69.17,-486153892.04
LPLA,201412,0,0,-8518366.0,-392271000.0,44.55,,42.67,-379493205.29999995
LTM,200709,0,0,-1739100.0,-92572000.0,61.34,,55.57,-106676394.0
LULU,201306,0,0,-5375131.0,-335118000.0,65.5,,77.81,-352071080.5
LULU,201603,0,0,-6348148.0,-333087000.0,67.71,,62.73,-429833101.08
LULU,201703,0,0,-4504208.0,-292728000.0,51.87,,65.26,-233633268.95999998
LVLT,200503,0,0,-107000.0,-363000.0,2.06,,2.33,-220420.0
LVS,200612,0,0,-619700.0,-42356000.0,89.48,,91.56,-55450756.0
LVS,200906,0,0,-31341283.0,-94337000.0,7.86,,9.91,-246342484.38
LVS,201112,0,0,-7366136.0,-282418000.0,42.73,,46.71,-314754991.28
LVS,201206,0,0,-8083114.0,-465345000.0,43.49,,46.18,-351534627.86
LYV,201012,0,0,-27756896.0,-274238000.0,11.42,,10.76,-316983752.32
MA,200706,0,0,-4070659.0,-432467000.0,165.87,A,149.55,-675200208.33
MA,201106,0,0,-692841.0,-174402000.0,301.34,A,287.04999,-208780706.93999997
MA,201603,0,0,-6150587.0,-598821000.0,94.5,A,86.92,-581230471.5
MA,201609,0,0,-4968587.0,-437534000.0,101.77,A,96.63,-505653098.99
MA,201803,0,0,-3362667.0,-508973000.0,175.16,A,175.75999,-589004751.72
MAR,200503,0,0,-822100.0,-51776000.0,66.86,A,64.1,-54965606.0
MAR,200703,0,0,-3878088.0,-185062000.0,48.96,A,47.91,-189871188.48
MBLY,201512,0,0,-6394066.0,-290802000.0,42.28,,43.6,-270341110.48
