Ticker,Date,Shares,Value,Shares_Change,Value_Change,Price,Class,Last_Price,New_Value
NMX,200704,2981253,404735000,0,0,129.71001,,135.75999,386698356.44253004
NMX,200705,2981253,404735000,0,0,127.35,,129.71001,379662569.55
NMX,200707,701097,88079000,0,0,124.5,,125.63,87286576.5
NMX,200708,701097,88079000,0,0,129.02,,124.5,90455534.94000001
NOC,201601,2132094,402561000,0,0,185.06,,188.81,394565315.64
NOC,201602,2132094,402561000,0,0,192.22,,185.06,409831108.68
NOC,201604,3249789,643133000,0,0,206.25999,,197.89999,670301446.64211
NOC,201605,3249789,643133000,0,0,212.67,,206.25999,691132626.63
NOC,201607,2647065,588390000,0,0,216.63,,222.28,573433690.9499999
NOC,201608,2647065,588390000,0,0,212.07001,,216.63,561363101.02065
NOW,201707,3220940,341420000,0,0,110.45,,106.0,355752823.0
NOW,201708,3220940,341420000,0,0,116.19,,110.45,374241018.59999996
NOW,201710,5271621,619574000,0,0,126.37,,117.53,666174745.77
NOW,201711,5271621,619574000,0,0,123.0,,126.37,648409383.0
NOW,201801,4116193,536710000,0,0,148.87,,130.39,612777651.91
NOW,201802,4116193,536710000,0,0,161.00999,,148.87,662748193.76807
NOW,201804,2677118,442929000,0,0,166.14,,165.45,444776384.52
NOW,201805,2677118,442929000,0,0,177.61,,166.14,475482927.98
NOW,201807,3014253,519868000,0,0,175.96001,,172.47,530387988.02253
NOW,201808,3014253,519868000,0,0,196.36,,175.96001,591878719.08
NOW,201810,3166637,619489000,0,0,181.03999,,195.63,573287930.81363
NOW,201811,3166637,619489000,0,0,185.27,,181.03999,586682836.99
NOW,201901,2642117,470429000,0,0,220.02,,178.05,581318582.34
NOW,201902,2642117,470429000,0,0,239.44,,220.02,632628494.48
NOW,201904,1705894,420486000,0,0,271.51001,,246.49001,463167296.99894005
NOW,201905,1705894,420486000,0,0,261.92999,,271.51001,446824798.36105996
NOW,201907,1311525,360105000,0,0,277.39001,,274.57001,363803932.86525005
NOW,201908,1311525,360105000,0,0,261.84,,277.39001,343409705.99999994
NOW,201910,1697825,430993000,0,0,247.25999,,253.85001,419804192.52175
NOW,201911,1697825,430993000,0,0,283.04001,,247.25999,480552404.97824997
NRG,200604,434700,19657000,0,0,47.59,,45.22,20687373.0
NRG,200605,434700,19657000,0,0,49.75,,47.59,21626325.0
NTAP,201010,6544728,325862000,0,0,53.25,,49.79,348506766.0
NTAP,201011,6544728,325862000,0,0,50.93,,53.25,333322997.04
NTAP,201101,4616978,253749000,0,0,54.73,,54.96,252687205.94
NTAP,201102,4616978,253749000,0,0,51.66,,54.73,238513083.48
NTAP,201104,8794747,423445000,0,0,52.11,,48.1475,458294266.17
NTAP,201105,8794747,423445000,0,0,54.77,,52.11,481688293.19000006
NTAP,201107,7571797,399639000,0,0,47.52,,52.78,359811793.44
NTAP,201108,7571797,399639000,0,0,37.62,,47.52,284851003.14
NTAP,201110,9519193,322986000,0,0,40.96,,33.93,389906145.28000003
NTAP,201111,9519193,322986000,0,0,36.83,,40.96,350591878.19
NTES,200501,1411017,74671000,0,0,42.15,,52.92,59474366.55
NTES,200502,1411017,74671000,0,0,42.29,,42.15,59671908.93
NTES,200507,709299,40508000,0,0,58.83,,57.11,41728060.17
NTES,200508,709299,40508000,0,0,72.67,,58.83,51544758.33
NTES,200510,918574,82681000,0,0,76.27,,90.01,70059638.97999999
NTES,200511,918574,82681000,0,0,56.98,,76.27,52340346.519999996
NTES,200601,1680228,94362000,0,0,71.4,,56.16,119968279.2
NTES,200602,1680228,94362000,0,0,87.55,,71.4,147103961.4
NTES,200604,4190736,102841000,0,0,21.68,,24.54,90855156.48
NTES,200605,4190736,102841000,0,0,20.45,,21.68,85700551.2
NTES,200607,5523901,123349000,0,0,17.3,,22.33,95563487.3
NTES,200608,5523901,123349000,0,0,17.5,,17.3,96668267.5
NTES,200610,11634856,190346000,0,0,16.5,,16.36,191975124.0
NTES,200611,11634856,190346000,0,0,18.46,,16.5,214779441.76000002
NTES,200701,9903977,185105000,0,0,20.44,,18.69,202437289.88000003
NTES,200702,9903977,185105000,0,0,20.4,,20.44,202041130.79999998
NTES,200704,8042286,142670000,0,0,18.08,,17.74,145404530.88
NTES,200705,8042286,142670000,0,0,18.051,,18.08,145171304.586
NTES,200707,3817612,64976000,0,0,17.01,,17.02,64937580.120000005
NTES,200708,3817612,64976000,0,0,16.54,,17.01,63143302.48
NTES,201104,2050965,101543000,0,0,49.28,,49.51,101071555.2
NTES,201105,2050965,101543000,0,0,46.13,,49.28,94611015.45
