gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,costat,ggroup,gind,gsector,gsubind
60923,20000131,1999,INDL,C,D,STD,PLAY,USD,A,2530,253010,25,25301040
60928,20001231,2000,INDL,C,D,STD,USDC,USD,I,4510,451030,45,45103010
60931,20001231,2000,INDL,C,D,STD,SYX,USD,A,2010,201070,20,20107010
60938,20001231,2000,INDL,C,D,STD,NIDB,USD,A,4010,401020,40,40102010
60939,20001231,2000,INDL,C,D,STD,SOSS,USD,I,2020,202010,20,20201040
60942,20001231,2000,INDL,C,D,STD,MMUS,USD,I,4510,451030,45,45103030
60943,20001231,2000,INDL,C,D,STD,FBBC,USD,I,4010,401020,40,40102010
60946,20000630,2000,INDL,C,D,STD,BMSS,USD,I,2530,253010,25,25301040
60948,20000531,1999,INDL,C,D,STD,STY.2,CAD,I,4510,451010,45,45101010
60949,20001231,2000,INDL,C,D,STD,CFIC.,USD,I,4010,401010,40,40101010
60950,20001231,2000,INDL,C,D,STD,DRTE,USD,I,3510,351030,35,35103010
60952,20000630,2000,INDL,C,D,STD,GUPB,USD,I,4010,401020,40,40102010
60953,20001231,2000,INDL,C,D,STD,GTPS,USD,A,4010,401020,40,40102010
60955,20000131,1999,INDL,C,D,STD,INFR.1,USD,I,4510,451010,45,45101010
60964,20001130,2000,INDL,C,D,STD,TSFT,USD,I,2020,202010,20,20201030
60969,20001231,2000,INDL,C,D,STD,LGTO,USD,I,4510,451030,45,45103020
60970,20001231,2000,INDL,C,D,STD,3SRCM,USD,I,4510,451010,45,45101010
60972,20001231,2000,INDL,C,D,STD,CNK1,USD,A,5020,502020,50,50202010
60973,20000331,1999,INDL,C,D,STD,CSYS,USD,I,4510,451030,45,45103010
60977,20000630,2000,INDL,C,D,STD,FKKY,USD,I,4010,401020,40,40102010
60978,20001231,2000,INDL,C,D,STD,ABR.SV.A,CAD,I,1510,151050,15,15105010
60979,20001231,2000,INDL,C,D,STD,WAB,USD,A,2010,201060,20,20106010
60983,20001231,2000,INDL,C,D,STD,AMRB,USD,A,4010,401010,40,40101015
60984,20001231,2000,INDL,C,D,STD,HSBI,USD,A,4010,401010,40,40101015
60990,20001231,2000,INDL,C,D,STD,BNCC,USD,A,4010,401010,40,40101015
60992,20001231,2000,INDL,C,D,STD,SUNEQ,USD,A,4530,453010,45,45301010
60993,20001231,2000,INDL,C,D,STD,MTINQ,USD,I,2520,252010,25,25201040
60994,20001231,2000,INDL,C,D,STD,SELBE,USD,I,2550,255010,25,25501010
61004,20001231,2000,INDL,C,D,STD,ACTG,USD,A,2020,202020,20,20202020
61008,20031231,2003,INDL,C,D,STD,WSGI,USD,I,2010,201010,20,20101010
61011,20001231,2000,INDL,C,D,STD,CGRA,USD,A,4020,402030,40,40203010
61019,20001231,2000,INDL,C,D,STD,HABC,USD,A,4010,401010,40,40101015
61027,20001231,2000,INDL,C,D,STD,PIXT,USD,I,4520,452030,45,45203010
61028,20001231,2000,INDL,C,D,STD,WSTG,USD,A,4520,452030,45,45203030
61030,20000331,1999,INDL,C,D,STD,DSWL,USD,A,4520,452030,45,45203020
61033,20000731,2000,INDL,C,D,STD,3PBYPQ,USD,I,2520,252020,25,25202010
61034,20001231,2000,INDL,C,D,STD,TK,USD,A,1010,101020,10,10102040
61036,20000430,1999,INDL,C,D,STD,INV.2,CAD,I,2020,202010,20,20201010
61047,20001231,2000,INDL,C,D,STD,BMTL,USD,I,3510,351010,35,35101010
61048,20001231,2000,INDL,C,D,STD,IMSC.1,USD,I,4520,452030,45,45203010
61054,20051231,2005,INDL,C,D,STD,AMNL,USD,A,1510,151040,15,15104020
61055,20001231,2000,INDL,C,D,STD,AUBN,USD,A,4010,401010,40,40101015
61056,20001231,2000,INDL,C,D,STD,RHWI,USD,A,2030,203020,20,20302010
61059,20001231,2000,INDL,C,D,STD,MNMD,USD,I,3510,351010,35,35101010
61060,20001231,2000,INDL,C,D,STD,TAGS.1,USD,I,2520,252030,25,25203010
61061,20000630,2000,INDL,C,D,STD,CNU,USD,I,3510,351020,35,35102015
61062,20000531,1999,INDL,C,D,STD,NTDG,USD,I,2010,201030,20,20103010
61064,20000731,2000,INDL,C,D,STD,6033B,USD,A,2530,253010,25,25301040
61065,20000630,2000,INDL,C,D,STD,VSNI,USD,I,4520,452010,45,45201020
61067,20001231,2000,INDL,C,D,STD,CIB,USD,A,4010,401010,40,40101010
61068,20001231,2000,INDL,C,D,STD,CICN,USD,A,4510,451030,45,45103010
61069,20001231,2000,INDL,C,D,STD,ATEA,USD,I,4510,451030,45,45103010
61071,20001231,2000,INDL,C,D,STD,NDVR,USD,I,2510,251020,25,25102020
61077,20001231,2000,INDL,C,D,STD,GVP,USD,A,4510,451030,45,45103010
61079,20001231,2000,INDL,C,D,STD,3SISBY,USD,I,3010,301010,30,30101030
61081,20000731,2000,INDL,C,D,STD,TSMA.,CAD,I,2510,251010,25,25101010
61093,20000331,1999,INDL,C,D,STD,CBXC.1,USD,I,4520,452010,45,45201010
61094,20000331,1999,INDL,C,D,STD,GUCO,USD,I,3010,301010,30,30101030
61095,20000331,1999,INDL,C,D,STD,PHHMQ,USD,I,2520,252010,25,25201030
61098,20001231,2000,INDL,C,D,STD,INBI.,USD,I,4010,401010,40,40101010
61100,20001231,2000,INDL,C,D,STD,MRB,USD,I,1510,151040,15,15104030
61101,20001231,2000,INDL,C,D,STD,VBI.1,CAD,I,3520,352010,35,35201010
61102,20001231,2000,INDL,C,D,STD,ONTC.,USD,I,4510,451030,45,45103010
61108,20001231,2000,INDL,C,D,STD,OMRX,USD,A,3510,351010,35,35101010
61112,20000630,2000,INDL,C,D,STD,RVR,USD,I,4020,402020,40,40202010
61113,20001231,2000,INDL,C,D,STD,AIJ,USD,I,4010,401020,40,40102010
61114,20001231,2000,INDL,C,D,STD,AIK,USD,I,4010,401020,40,40102010
61117,20001231,2000,INDL,C,D,STD,LRCI,USD,I,2020,202010,20,20201030
61121,20001231,2000,INDL,C,D,STD,AMIEQ,USD,I,2530,253010,25,25301020
61122,20000930,2000,INDL,C,D,STD,DIT,USD,A,2550,255010,25,25501010
61124,20001231,2000,INDL,C,D,STD,IBBO,USD,I,2540,254010,25,25401030
61125,20001231,2000,INDL,C,D,STD,MOORZ,USD,I,5010,501020,50,50102010
61129,20001231,2000,INDL,C,D,STD,RWT,USD,A,4020,402040,40,40204010
61131,20001231,2000,INDL,C,D,STD,CRSCZ,USD,I,3510,351020,35,35102010
61134,20001231,2000,INDL,C,D,STD,UBB,USD,I,4010,401010,40,40101010
61140,20001231,2000,INDL,C,D,STD,WINT,USD,A,3520,352010,35,35201010
61142,20001231,2000,INDL,C,D,STD,USAD,USD,I,3030,303010,30,30301010
